text,depressive
"I’m gonna whine a little bit that I’ve had a cough for three weeks which means I still haven’t been able to see Wicked or A Great Unknown, Nosferatu or Baby Girl. I just want to disappear into a dark theater and eat some Junior Mints while I watch some of my faves do their thing.",0
"How am I supposed to go to her house tomorrow for Christmas?

I don’t want to be there and be the disappointment she can’t escape. I don’t want to eat a thing when I’m there. I just want to disappear.",0
"Does anyone want to be my friend, I just want a friends, I will not judge anyone I really need friends that won’t disappear or forget about me, please am willing to be friends with anyone",0
"The desire to be social and say things on this platform.

VS

The vacuous space in my head that things I want to talk about go to disappear by the time I open this app.

😩",0
"I feel like I want to cry and scream and shout and throw things. I want to be heard and noticed and seen.
But I also want to be left alone, curl up into a ball, and silently disappear in a dark corner. I'm used to being ignored. 
I like being alone most of the time, but I hate being lonely. 🥺",0
I don’t want to sweat the semantics of “want.” The more significant point is that people are using it widely and frequently. One out of ten people use it daily for work. That level of adoption is not a brief fad likely to disappear.,0
Is there the equivalent to bookmarks on BlueSky cause there’s some art id like to look at later but I don’t want it to disappear into my likes?,0
"Disappearing for a few days, for nice reasons and also because I might have to watch 205 late and NO-ONE is going to spoil it for me.

I didn't want to just disappear without a formal valediction. Sorry it's not catered.",0
"Serves me right. I kept running, running, always running. I was even hoping someone would just spit it out for me. Well, I got exactly what I wished for, didn’t I? Ahh… I want to disappear.",0
"Video games are 70, 80 dollars a pop. I have to pay like fifteen bucks a month to watch the one show I care about to support it/not wait for it to get bootlegged. It's no wonder I disappear into my writing these days. I can make it as [whatever] I want and its free.",0
"Is that what ended up happening? I only saw the original post with the art and the call for information, and now this.

I don't know her feelings, but to just want that stuff to disappear forever... I can't begin to imagine how someone could end up with that kind of relationship with their art.",0
"also anxiety is preventing me from being functional in the way i need to be and my brain just can't........cooperate. and everyone keeps telling me how understandable all of this is, and i don't want to hear that anymore. i just want to shrivel up and disappear .",0
"some days I feel like I have the best job in the world, other days I want to curl into a ball & disappear bc I’m stuck watching 8 tiny children who are *determined* to injure each other & themselves in increasingly severe & creative ways",0
"God I'm fucking depressed tonight.

Can't sleep. Want to sleep. Can't create. Want to create. Also want to kind of nuke my entire online presence and disappear off the face of the Earth because this?

This is all fake as fuck. I'm fake as fuck. What am I even doing here.",0
"I don't want to subscribe to multiple services just to watch movies or play several games.

Even worse is that these pieces of media can just disappear. Physical media matters. Just let me own my shit.",0
I want to be a beer foam and disappear,0
"if i make an oshisaure account it'll be after i get oshisaure . wtf up and running with a proper website on 
which I've been meaning to do anyway, i want to host my own gallery to have full resolution pictures somewhere i can be sure that won't disappear",0
"I still feel uneasy about deleting 15+ years' worth of my Twitter content. I think the same way about my 20 years on Facebook. Although both platforms wouldn't impact my life in any material way if they were to disappear tomorrow, a part of me will always want them there.",0
"I get a lot of random enquiries from people who want a Wikipedia article created—sometimes about themselves (sorry, no), usually about a worthy person or institution. I'm usually flat out with my paid or volunteer projects, though. So this is what I tell them:",0
just once I want to be waving to someone from across a train platform and then as a carriage goes by I disappear mysteriously,0
"Do they honestly think banning these terms is going to make LGBTQI+ people just disappear? This is terrifying. Clearly ""free speech"" means ""freedom only to say what I want you to say"".",0
"sometimes i want to disappear
but then i remember mary will find another messed up way of contacting me",0
"I want to make and do more cool things, but it’s been difficult to be motivated when I look at my metrics, and when people just… disappear.

I get attached to people, and I don’t look at anyone like they’re just a number. I remember little things about people. People come & go, and I get that but 😭",0
"I was so confident I had this whole school thing, and now I just want to be a bean inside a pod and disappear :)",0
I kind of want to disappear off social media for a bit,0
"(Anyway, this person is clearly mentally unwell and I don't want to feed that illness so I'll be blocking her now, which sadly will mean that my parts of this very complicated thread will disappear and make it harder for people to read back and understand what's going on -- apologies for that)",0
I just want to delete everything and disappear. Start over where nobody knows me and I know nobody else.,0
"i see you deleted the original post, so you want this discussion to also disappear",0
Why would I want to disappear into the woods? There's no wifi there.,0
It's been getting so bad again that I just want to leave every server I'm in and just disappear,0
"Yes, talking to other people who have been untethered is more useful than normal people who want to help but do it by assuming it's just a panic attack and saying it's not real or whatever and that works for panic but not this. Also i might Not disappear yet I just know when I do it may be sudden",0
Why am I posting here? No one will see this. No one will care. No one does care. I want to disappear forever and be gone.,0
"♦️ Yes. I don't want to disappear, either. I still want to live in this glorious place with all of you.",0
"I'm in a small mood. Not the ""I'm horny, be mean to me"" small mood, but the ""hide me away in your hands, a hug, a pocket, etc. and comfort me"" small mood, y'know? I just kinda want to disappear for a bit until I feel better :/",0
"Today is a rough day. 

I literally want to disappear inside a book right now and ignore things. 😮‍💨 

It's okay. Maybe tomorrow will be better. ♥️",0
Every now and then I want to disappear and live on a hidden island with magical creatures on it,0
just accidentally liked a deep dive post from 2019... i want to disappear now.,0
"Here’s the rest if this is of any interest to y’all.

The last line on the last screenshot is so smug but won’t fit into the alt text, so here it is:

“And some friendly advice: from now on, don’t be so careless about your online security.”",0
"Anyone Americans feel anxious over the past few days? I mean we are like 1 week away from knowing whether people will start getting sent to the camps. I will probably be fine, but I don't want to live in a universe in which my trans mutuals disappear.",0
"I’m thinking it’s the shonkiest site. Will ask son to put the advert on marketplace ( I’m not on farcebook), the responses all want me to respond to their emails, ask moronic questions and disappear when I refuse to play. It’s scam central.",0
"I Want To Disappear

Look at me now, got no religion Look at me now, I'm so vacant Look at me now, I was a virgin Look at me now, grew up to be a whore And I want it, I believe it I'm a million different things And not one you know Hey, and our…

https://www.lyrics365.net/i-want-to-disappear.html",0
"I don't know what's getting me so demotivated to hang out with/message people recently. other than a couple places I know I can just exist with no expectation to do anything, I keep forgetting people EXIST

people say I'm tired and need rest, but I don't want to disappear",0
"What, you don't want to spend months uploading backlog before posting new work?? :'D

I love the lighting in this! I've been studying lost edges lately and I love how the man's feet's edges disappear (talk about weird details to focus on, but there you have it)",0
I want to disappear,0
"I just want you all to know that when the mobile version of Stardew Valley updates on November 4th, I’m either gonna disappear or post screenshots as I go",0
"Oh, and 6) I’d never feel big enough. I want to endlessly grow. I want skyscrapers to disappear beneath My toes, continents to reshape with My footsteps, and eventually universes dwindle at My fingertips and still keep growing. Just more, always more~ ❤️😌",0
"I want to write again. 
But if I do that & it’s public, there is a good chance even my small contracts will disappear. 

I also promised myself that I wouldn’t die sending out resumes. There are things I want to write before it’s too late.",0
"I'm not good at bsky apparently. Twitter I seemed ok at before the kraken tore the ship asunder, but here and elsewhere I'm not so sure. I don't have the same energy to engage with people. Half of me just wants to fade away and disappear from furry altogether. I have no idea what I want any more.",0
"_Or a trap_, both of them thought.

""No,"" said LQG, then hesitated. ""But I heard voices. Children talking here and there. Whenever I tried to follow the sound - ""

""Dangerous,"" SJ snapped.

"" - it would always disappear. As if it didn't want me to find it.""

Well, no wonder.",0
"Album of the day -  13 Jan 2025

Artist: The Story So Far
Album: I Want To Disappear 
Fav track: Big Blind
Runtime: 28 mins
Genre: Pop-Punk

#Music #Albumoftheday #aotd #discover",0
"I now decided How to Disappear Completely has a slight edge over the other songs on Kid A. 

I hope you saw my golf invite on Twitter, but in case you didn’t, anytime you want to play golf in Tucson or Flag I got you! Flag is open late April - Oct. NBA players have been spotted on that course 👀",0
"Dan Dare just can't catch a break. How many times now have they announced a TV series or movie only for it to disappear without trace?

And no I don't want a CGI cartoon.",0
"I want to feel you disappear down my throat, knowing full well you won’t be coming back out in the same state",0
"
Fuck Around And Find Out.",0
I just want to quit my job and disappear,0
"I don't think you need to download, unless you want to save information. Just deactivate, and within a certain period of time all tweets should disappear.",0
Bsky has been amazing for this. You all seem to genuinely fuck with me and aren’t just here to goon and disappear. I want to be here. Be my full self. Say my truth.,0
"thank you so much for talking about this because i’m literally in my dysphoria blues today and it’s exactly this. adults forgetting that i’m still a child, strangers commenting on my body, the feeling like i want to disappear so i’m not perceived but at the same time knowing no one really sees me 😩",0
"I'm assuming that the post can only be seen is by being logged into counter.social. Is that right?

When someone follows those instructions, do their lists disappear? I don't want to disappoint their followers.",0
Whilst I am tempted. Physical is king and I don’t want to have a large digital library that might disappear one night.,0
"If both Pauls could disappear from the public eye forever it would be great! 

I think I just struggle with why people would want to actually hurt someone else (it’s the same with mma) 😅 saying that I do boxing every week as a workout but use a bag",0
"I was always such a cynical person, for ages I didn't even realize people took that entirely literally. I just took it as purely the warning side of it, which is to say that once something has reached the internet you can't assume it will ever disappear even if you want it to.",0
I just want everything to disappear even for a bit,0
"Top 5 albums of the year (I spent very little time thinking about this):

1. Foxing by Foxing
2. Tigers Blood by Waxahatchee
3. Hiraeth by Respire
4. Oolong by Oolong
5. I Want to Disappear by The Story So Far

Bonus EP of the year:
Ephemera by Ben Quad",0
i need to stop sleeping on the floor but i don’t want to drop $200 on ordering a sofa online just to have it disappear from the entryway while i’m at work but i don’t have the means to transport one from anywhere else HRNNNNGGGHH,0
"THIS MAKES ME FEEL SO MUCH BETTER! I want her to disappear from every scene she’s in. How are you going to be so obnoxious at every turn? You’re supposed to be the love interest 😩 I’m like Peter, my guy, send her home, let her die idk I’m over her. Most unlikable character",0
"If you are late to our appointments and you don't reply to my texts and you forget my birthday and if you disappear for months at a time, I just want to say: thank you for making me feel better for also being a mess of a person. This is why we're friends.",0
"Watching the owl house for the 3rd time. I wish they released this series on Blu-ray. I don't trust it streaming, I don't want it to disappear like other series I like that got removed for no reason.",0
but i still want to disappear,0
"Don't jinx it Yozo.... I have been enjoying the loads of NSFW art here. 

I don't want that to disappear....",0
"Thanks. I grapple a lot with self-doubt and reading that stupid comic sent me flying back in time to when I thought I was broken for liking what I do. Naturally my response is 'you need to disappear', which is usually what I would do. I really don't want to do that again. This community is great :/",0
"All eyes of NVIDIA and SAMSUNG

I don't know if you can believe it, but we are approaching the end of January. And I want to start a summary of the first review of 2025. CES 2025For me, it seemed to be a year, but now it feels like it happened a few months ago. I witnessed Tiktok disappear and…",0
"I think it’s clear that our Democratic leaders are feckless cowards. They want to disappear into obscurity while the Republicans take over. Capitulation, no representation.",0
Semana 5  - I Want to Disappear (2024) de The Story So Far,0
during the early days before WWII the SS would help people disappear if they where not inline with the 3rd Reich. movies in the USA had to fire actors and actresses for being Jewish. fast forward 2025 people still want to act in movies but dont want to piss off the SS i mean CIA,0
"it fucking sucks, seeing that so many people here see me as less than them, less than human, and i just want nothing more than to get out or disappear entirely. But there's no point to calling it quits just from this.",0
"Meh, still doesn't look or sound like something I'd enjoy.

I already know that I don't care for live service games, especially ones that are always-online. I don't really want to invest time or money into something that's going to disappear one day without any way to preserve it.",0
alt text is long so this is gonna be in parts lol,0
"I don't want to ruin someone else day, mine is enough
I'll just disappear for a while :/",0
"I just want the guy who does it to disappear and never get caught. An anonymous hero. Plus, if the guy gets away and goes dark it scares the shit out of all the other tech-bros who participated.",0
oh my god having a distant unrequited crush on someone you haven’t seen in over a year is so fucking stupid. i want this man to just DISAPPEAR.,0
there's this one guy I hate and I want him to disappear and be removed from toki pona spaces forever,0
I want the bots i blocked to disappear like zz,0
"I did too, but clearly need to go earlier next year before the ones I want disappear! I did get some though. Thanks for the tip!",0
"As a promise for 2024, I need to start focusing more on my own mental health and also reconsider how I use social media, while trying to balance it in a healthy way.

And for that, I got an idea I want to try. I won't suddenly just disappear, but I might occasionally take a break or two... or three.",0
👋👋 everybody seems to be a lawyer; overwhelmed by lawyers now. I just want to disappear in theatre and football! 🤣,0
I keep saying I want to disappear when what I mean is please notice me and tell me its ok,0
"The thing about being an ambivert is that sometimes I want to be around people I think are my friends, or at least I'm friendly with. When they disappear, I feel very alone. When I learn they're doing something (I wasn't told about) without me... I feel betrayed and isolated.",0
"Okay so like in SEKAI, N25 is seen saying that they want to ""disappear"" and one while it's used as the writers way of alluding to dying without explicitly saying so I also feel like the specific word usage is a deliberate choice meant to describe the nature of their feelings",0
"Took me a bit to realize why I kept losing orders until I realized that if I didn't want them to disappear, I should try adding them in the right place and into a database that isn't dropped several times a day 🤓",0
"You're selfish. Because as I said, if medically you cannot. Cool. That's why everyone else does. To protect YOU.
And why you feel you don't need to card about polio in the first place?

People like me got vaccinated and made it disappear.

Live how you want. Just don't expect a medical plan B.",0
"“I can disappear anytime I want to, time I feel you, shovel through my skin, I am with you till the end. And I can decompose when it suits me I accelerate it.”",0
