text,depressive
"Social media is going to be a funny paradox for me.

I want to share about my projects, and to connect with people. But my social battery drains really fast. Once it's empty, there's a good chance I disappear for days. x)

If I like but don't comment, its my ""I support but don't want to talk"" ",0
"DEAR WHATSAPP (and everything that does chat)

Skype let you do text replacements using regex-like syntax.

If I typed ""go to heel"" in my first message, I could then type ""s/heel/hell/"" in my next and it would disappear, then edit the message before.

I have to edit messages a lot. I want it back.",0
"Hurt filled her expression, and it was so real—so unfamiliar…Neo’s tears spilled over. “Neo, I…”

“I don’t want to do this with you.”

“Do what?”

“Talk things out just for you to disappear again after we’re done. I 𝘤𝘢𝘯’𝘵 do it.”",0
"My kid is studying astrophysics, and I expect NASA and any non-Musk space program to disappear. We are looking abroad. I don’t want my daughter to leave but HOW THE FUCK does she stay??? I feel like I’m in Berlin watching the wall go up.",0
"You don't want the culture to disappear??? What do you know of culture Mr Musk?
Let me tell you one thing I know about culture. It's much stronger than all the riches of the world together and don't need your protection.
Thank you very much.",0
"I am so pleased with how PZR: Major Arcana Vol I came together once it left my hands and got some TLC from the pros. My baby is so cute in her finery. Bitch is looking like a real book. 😍🥰

(Alt text provided for pages.)",0
"It is sort of like Xitter. It's public, so not a place I would post super personal stuff, but your prefs may vary
The culture on Bluesky is to block people who are assholes, or ppl you don't want to see. Blocking makes them disappear from your life. They won't see you and you won't see them.",0
"I'm posting this declaration of life. No matter how bad things get, I want to enjoy a long happy life with Lexi. If I die from ""suicide"", the fuckers are lying to you.

I haven't had enough of life yet to give up on it.",0
"And no. I am not an antisemite, and no, I do not what the Israeli state to disappear. I just want them to adhere to international laws.",0
"i guess i technically called him manipulative over the whole “so you just want me to self-delete” response to someone telling him to delete his account.

anyway, it’s nice to see that i’m never wrong about uwu soft boys being the fucking worst actually",0
I don’t want to rest. I want to disappear,0
Getting to a point where I want to just disappear off the internet and start going back to the 1995 technology of Lisa Frank stationery and calling people on the phone when I want to communicate.,0
"""I Want to Disappear"" Tour - The Story So Far Concert & Album Review www.dropthespotlight.com/i-want-to-di...",0
"Every injustice will be remedied. MOST Important at the Moment is Not Grocery prices (which I have heard Nothing about since Trump won-except saying how Hard That was to fix). But arresting Musk-and HIS Minions-just to (I don't want to Say disappear, but) Save Our Country from Trump's Goebbels",0
I want him to disappear off the face of the earth. President elect Musk & his VP Trump should get into one of those rockets & head for Mars NOW!,0
I'm always shocked at anyone who wants to disappear entire segments of humanity. Which in itself is shocking given how many of them want exactly that. I live with a lesbian immigrant from a Caribbean island nation who has a disabled child who thinks trans people should not exist.,0
Bored at work I started this non-fiction book and it's the way I want to buy a ticket and get the hell out of here for two weeks. Disappear and then come back anew.,0
I feel like what doesn't help here is that people genuinely don't realise it IS ongoing. To them vaccines made covid disappear despite how much it clearly is still rampant. So (largely chronically ill) artists who want to seek catharsis and solidarity in their art are making others have to see that-,0
Ugh I really don't want physical games to disappear but it feels inevitable at this point.,0
I don't blame myself. Grief and constant life changes that I felt were somehow an insult to me made me want to climb inside of myself again and disappear. I started prioritizing immediate comfort over long-term gain.,0
"I do have the insane fic idea, but I also wanted to draw them in an uncomplicated way, too, lmao

#Hades2 #HadesII #spoilers (just for the one character)",0
"I fucking hate hurting my friends feelings unintentionally 

I just want to disappear for an entire day",0
“Gloves” by Kaveh Akbar: www.poetryfoundation.org/poetrymagazi...,0
"Honestly I think I've given up, I just want to disappear, for forever into a quiet solitude. But some things unsettled, in my heart & soul, in my bones, keeps me from doing so...just yet...I'll figure out how, how, how to disappear. Somehow.
~A££¡€ ♡

#poetrybymsdarkside ♡ #MoodsWeFeel 

📸Pinterest",0
I hope so.  DOJ did release the whole report to Congress and Senate just in case Cannon pulls another fast one.  They didn’t want it to disappear once tRump took office.,0
if i had a nickel for everytime an eno sumi character considers another their ideal euthanasia i'd have two nickels. which isn't a lot but it's weird that it's happened twice.,0
"💕💕💕 this was a Present To Self i thought i'd lost all chance of ever having, so i reallyREALLY don't want it to disappear",0
"""It's finally come around, my punishment for having been born / In order to put an end to it, I stop breathing"" and Mizu5 and the after-live literally ending with Mizuki saying they want to disappear also kind of supports that, Imo. I don't want to downplay crossdressers' struggles but this feels +",0
"Also I will admit the only ""embarrassing"" thing is inevitably that when I write characters they're gonna have my style of dialogue. I don't want people to think of me when I create things
It's indulgent and unique to me maybe but I want to disappear",0
"Could Trump finally disappear? 

I hope so, but I also hope that the US (like Australia) stops supplying weapons/weapon parts to Israel. I don't want that hope to be in vain!",0
Honestly probably like 80% of the stupid things I think of and want to post disappear from my head before I can open my phone. my RAM is in a permanent state of malfunctioning.,0
"Flickr had all the photos I took of Woody’s final years. I didn’t want to revisit them, so let them disappear.",0
"No matter how sad, how much I want to disappear—",0
"If you want, you can lean on me. Let me know if anything is bothering you... I may not be able to do much, but... I can stay beside you until your worries disappear.",0
"Tell me, when I whisper in your ear
Does it make you want to disappear?",0
"Yeah, no probs.  I just didn't want to leave Helene's post hanging after I saw the post with the broken link disappear and thought I'd try to re-connect quoting and quoted.",0
"In a way, I do not want Hope Solo to disappear. She is the sports version of the Oregon militia.

It is pure twitter bliss.

#USWNT",0
"I couldn't even start the second damn month of the year without something horrible happening again, last year was already too much for me, although the bad started long after February, I really don't think I can bear this year if it continues this bad.At this point I just want to disappear forever",0
"I just want to see all the colors disappear into eye-blurring shimmering black surfaces, too indistinct to make out any details.",0
